merchant_key,display_name,category,subcategory,tags,confidence,source
DOORDASH,DoorDash,dining,delivery,"food,delivery",1.0,yaml
PANDA EXPRESS,Panda Express,dining,fast_casual,"food,asian",1.0,yaml
OUTBACK,Outback Steakhouse,dining,restaurant,"food,restaurant",1.0,yaml
BLAZE PIZZA,Blaze Pizza,dining,pizza,"food,pizza",1.0,yaml
RAISING CANES,Raising Cane's,dining,fast_food,"food,chicken",1.0,yaml
YARD HOUSE,Yard House,dining,restaurant,"food,restaurant",1.0,yaml
CHIPOTLE,Chipotle,dining,fast_casual,"food,mexican",1.0,yaml
SMITHS FOOD,Smith's Food,groceries,supermarket,grocer,1.0,yaml
TARGET,Target,shopping,big_box,retail,1.0,yaml
ZARA,Zara,shopping,apparel,"retail,apparel",1.0,yaml
AMAZON,Amazon,shopping,online,ecommerce,1.0,yaml
WALMART,Walmart,shopping,big_box,retail,1.0,yaml
HOME DEPOT,The Home Depot,home_improvement,hardware,"home,hardware",1.0,yaml
76 SPEEDEE MART,76 SpeeDee Mart,transportation,fuel,"gas,fuel",1.0,yaml
ARCO,ARCO,transportation,fuel,"gas,fuel",1.0,yaml
CHEVRON,Chevron,transportation,fuel,"gas,fuel",1.0,yaml
SHELL,Shell,transportation,fuel,"gas,fuel",1.0,yaml
MASTER AUTOMOTIVE CENTER,Master Automotive Center,auto_maintenance,service,"auto,service",1.0,yaml
OPENAI,OpenAI,subscriptions,software,"saas,ai",1.0,yaml
FLOSPORTS,FloSports,subscriptions,streaming,"subscription,sports",1.0,yaml
GEICO,GEICO,insurance,auto,"insurance,auto",1.0,yaml
ROOT INSURANCE,Root Insurance,insurance,auto,"insurance,auto",1.0,yaml
PROG DIRECT INS,Progressive Direct,insurance,auto,"insurance,auto",1.0,yaml
WAKE FOREST UNIV,Wake Forest University,education,tuition,"education,tuition",1.0,yaml
DMV,DMV,fees,government,"gov,fees",1.0,yaml
SQ LAS VEGAS CONVENTIO,Square - Las Vegas Convention,entertainment,event,"event,convention",1.0,yaml
SQUARE INC,Square Inc,income,settlement,"income,payout",1.0,yaml
CASH APP,Cash App,income,payout,"income,p2p",1.0,yaml
APPLE CASH SENT MONEY,Apple Cash Sent,p2p_transfer,outbound,"p2p,applecash",1.0,yaml
SENDWAVE,Sendwave,p2p_transfer,outbound,"p2p,remittance",1.0,yaml
ALLY PAYMT,Ally,loan_payment,auto_loan,"loan,payment",1.0,yaml
AMERICAN 2216,American 2216,loan_payment,finance,"loan,payment",1.0,yaml
TRANSFER TO LOAN,Transfer to Loan,loan_payment,internal,"loan,internal",1.0,yaml
CHASE CREDIT CRD,Chase Credit Card,credit_card_payment,autopay,cc_payment,1.0,yaml
APPLECARD GSBANK,Apple Card,credit_card_payment,payment,cc_payment,1.0,yaml
DISCOVER,Discover,credit_card_payment,payment,cc_payment,1.0,yaml
PETAL CARD,Petal Card,credit_card_payment,payment,cc_payment,1.0,yaml
HOME BANKING TRANSFER,Home Banking Transfer,internal_transfer,between_accounts,internal,1.0,yaml
PAYMENT HOME BANKING TRANSFER,Home Banking Transfer,internal_transfer,between_accounts,internal,1.0,yaml
TRANSFER TO SHARE,Transfer to Share,internal_transfer,between_accounts,internal,1.0,yaml
FROM SHARE,From Share,internal_transfer,between_accounts,internal,1.0,yaml
EFT REFUND,Refund,refund,adjustment,refund,1.0,yaml
IPRIDE,Ipride,other,misc,misc,0.6,yaml
